LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1990,4.107636265992e-06,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1991,27.8084010802765,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1992,26.2781655161047,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1993,26.2444784528083,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1994,25.5412444303129,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1995,25.4075550612187,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1996,27.328711375004506,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1997,28.8736984174652,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1998,26.6533485571559,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1999,27.9816648400942,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2000,26.411874390303396,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2001,24.5113309202107,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2002,25.1667356792547,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2003,25.8618825309799,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2004,28.619698739685198,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2005,27.1085763022828,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2006,26.9678637133422,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2007,24.1313091287472,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2008,23.331477023794694,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2009,23.4665419553831,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2010,25.3494415923629,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2011,23.3475804406547,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2012,22.515223784623398,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2013,23.851057594450307,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2014,22.704256867164197,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2015,20.6335798087031,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2016,19.455535893134197,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2017,18.7150603640546,
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2018,18.9106714885412,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1990,4.5770804106768e-06,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1991,14.451153680255,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1992,15.183231815627,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1993,15.010181093642599,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1994,15.5726281530618,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1995,15.579968467771002,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1996,14.4125871773731,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1997,14.79336376575,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1998,15.193009141954901,
AUS,MEATCONSUMP,PIG,KG_CAP,A,1999,15.132197033181301,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2000,15.1397842423598,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2001,15.239281271698301,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2002,15.995141441231599,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2003,17.4484087066784,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2004,17.735478138153102,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2005,18.6527429357214,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2006,17.9874795706693,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2007,19.707587853607606,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2008,19.307243215682398,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2009,19.898254228337606,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2010,20.196206062514104,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2011,19.674788633119,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2012,20.609870102111397,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2013,20.0904573432655,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2014,20.1128805681086,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2015,22.022766881029202,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2016,21.488653016466,
AUS,MEATCONSUMP,PIG,KG_CAP,A,2017,22.009624319049397,
