LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1990,9.56300624549033,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1991,7.8961313609324515,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1992,15.466681305017099,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1993,11.515841284528902,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1994,14.188555247411498,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1995,12.7224447056686,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1996,10.886779960809,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1997,9.60612562779656,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1998,8.06710005475359,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,1999,6.81408527275772,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2000,5.701100135358501,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2001,4.88908511699665,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2002,5.699140101986541,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2003,5.5115650353024686,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2004,5.9780998531144,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2005,6.07810003173902,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2006,5.83828499944677,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2007,5.81910017161388,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2008,5.730050117092639,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2009,5.3271000866602405,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2010,5.6650999120409,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2011,6.4891002761787,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2012,6.70110017205449,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2013,6.588099867398862,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2014,8.78310042120604,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2015,10.984100252680399,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2016,13.9710996451857,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2017,18.2791011908828,
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2018,17.4991005047734,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1990,168.47710500488301,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1991,169.023094995117,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1992,178.516106469727,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1993,164.846093041992,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1994,196.40009389648398,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1995,155.765099389648,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1996,164.28510366210898,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1997,163.13910756835898,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1998,161.1251,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,1999,186.28510366210895,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2000,164.066094262695,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2001,146.713097436523,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2002,145.494103295898,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2003,143.830101831055,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2004,166.94611440429702,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2005,166.949105126953,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2006,178.666085107422,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2007,208.120095117188,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2008,198.552101953125,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2009,185.295098168945,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2010,175.008095605469,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2011,163.417107446289,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2012,171.925087792969,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2013,192.734108789063,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2014,202.840096337891,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2015,188.406105859375,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2016,188.225090844727,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2017,172.69710622558603,
ZAF,MEATCONSUMP,SHEEP,THND_TONNE,A,2018,171.621086938477,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1990,0.0001,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1991,552.6150725614,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1992,748.4580199280168,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1993,762.231015142713,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1994,794.6420911243903,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1995,835.255994594086,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1996,900.3751066207301,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1997,895.847017398183,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1998,890.936126689875,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,1999,1030.49405656552,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,2000,969.2160873644092,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,2001,1013.06909917399,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,2002,1046.9431040660302,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,2003,1291.6399468711,
KOR,MEATCONSUMP,PIG,THND_TONNE,A,2004,1198.86011604963,
